YEAR,MONTH,YR_MONTH,GDP,SOURCE
1997,01,1997-01,37700.7,GDP- Hawaii
1998,01,1998-01,37621.7,GDP- Hawaii
1999,01,1999-01,39246.9,GDP- Hawaii
2000,01,2000-01,41519.9,GDP- Hawaii
2001,01,2001-01,42982.8,GDP- Hawaii
2002,01,2002-01,45449.9,GDP- Hawaii
2003,01,2003-01,48922.8,GDP- Hawaii
2004,01,2004-01,53761.1,GDP- Hawaii
2005,01,2005-01,58658.7,GDP- Hawaii
2006,01,2006-01,62349.9,GDP- Hawaii
2007,01,2007-01,65223.8,GDP- Hawaii
2008,01,2008-01,66857.7,GDP- Hawaii
2009,01,2009-01,65711.3,GDP- Hawaii
2010,01,2010-01,68260.2,GDP- Hawaii
2011,01,2011-01,70630.1,GDP- Hawaii
2012,01,2012-01,73676.7,GDP- Hawaii
2013,01,2013-01,75807.8,GDP- Hawaii
2014,01,2014-01,77819.3,GDP- Hawaii
2015,01,2015-01,82644,GDP- Hawaii
2016,01,2016-01,85899.9,GDP- Hawaii
2017,01,2017-01,89618.6,GDP- Hawaii
2018,01,2018-01,93100.5,GDP- Hawaii
2019,01,2019-01,95744.3,GDP- Hawaii
